field,ra,dec,glon,glat
vphas_0001,97.219251337,0.0,210.3534750868879,-5.01804343538825
vphas_0002,98.181818182,0.0,210.7952274032597,-4.162097613447453
vphas_0003,99.144385027,0.0,211.23602008609907,-3.305905783504482
vphas_0004,100.106951872,0.0,211.67605232783458,-2.449519059565382
vphas_0005,101.069518717,0.0,212.1155221352963,-1.592988218075493
vphas_0006,102.032085561,0.0,212.5546266398745,-0.736363785569819
vphas_0007,102.994652406,0.0,212.99356240607966,0.120303875918874
vphas_0008,103.957219251,0.0,213.43252573476516,0.9769644765064
vphas_0009,104.919786096,0.0,213.87171297007836,1.833567714979757
vphas_0010,105.882352941,0.0,214.31132080424405,2.690063190830676
vphas_0011,106.844919786,0.0,214.75154658372819,3.546400316854402
vphas_0012,107.807486631,0.0,215.19258861713843,4.402528231138161
vphas_0013,277.219251337,0.0,30.35347508693382,5.018043435299385
vphas_0014,278.181818182,0.0,30.79522740335136,4.162097613269601
vphas_0015,279.144385027,0.0,31.23602008623635,3.305905783237583
vphas_0016,280.106951872,0.0,31.67605232783454,2.449519059565422
vphas_0017,281.069518717,0.0,32.11552213529629,1.592988218075466
vphas_0018,282.032085561,0.0,32.55462663987449,0.736363785569882
vphas_0019,282.994652406,0.0,32.99356240607968,-0.120303875918881
vphas_0020,283.957219251,0.0,33.43252573476518,-0.976964476506406
vphas_0021,284.919786096,0.0,33.87171297007836,-1.833567714979728
vphas_0022,285.882352941,0.0,34.31132080424408,-2.690063190830689
vphas_0023,286.844919786,0.0,34.75154658372819,-3.546400316854362
vphas_0024,287.807486631,0.0,35.1925886171384,-4.402528231138118
vphas_0025,97.219251337,0.9677419355,209.49032706287304,-4.574520717866004
vphas_0026,98.181818182,0.9677419355,209.932739420432,-3.71920258116507
vphas_0027,98.181818182,-0.9677419355,211.658685204621,-4.604051787215067
vphas_0028,99.144385027,0.9677419355,210.37405073160647,-2.863538757839567
vphas_0029,99.144385027,-0.9677419355,212.09875795308542,-3.74752559768589
vphas_0030,100.106951872,0.9677419355,210.81446008839472,-2.007580745746778
vphas_0031,100.106951872,-0.9677419355,212.53821297118216,-2.890903783539037
vphas_0032,101.069518717,0.9677419355,211.25416538778634,-1.151379617602175
vphas_0033,101.069518717,-0.9677419355,212.97724806269855,-2.034236830946213
vphas_0034,102.032085561,0.9677419355,211.69336363977823,-0.294986108920083
vphas_0035,102.032085561,-0.9677419355,213.41606016988317,-1.177575063980933
vphas_0036,102.994652406,0.9677419355,212.13225127431974,0.56154929640045
vphas_0037,102.994652406,-0.9677419355,213.8548456827955,-0.320968729665041
vphas_0038,103.957219251,0.9677419355,212.57102444343684,1.418176273658501
vphas_0039,103.957219251,-0.9677419355,214.2938007428086,0.535531909923906
vphas_0040,104.919786096,0.9677419355,213.00987932759307,2.274844573921976
vphas_0041,104.919786096,-0.9677419355,214.7331215493307,1.391876494307081
vphas_0042,105.882352941,0.9677419355,213.44901244038647,3.131503936225245
